Inputs;;;;;;;Outputs;;;;;
Flow UUID;Flow;Category;Sub-category;Unit;Result;;Flow UUID;Flow;Category;Sub-category;Unit;Result
11a2a7b1-ab2f-47b8-9e29-6f33d5207fa6;Gypsum;Resource;in ground;kg;0,0452931;;08a91e70-3ddc-11dd-91ae-0050c2490048;Acrylonitrile;Emission to air;unspecified;kg;1,98572E-17
e5cbe371-d33e-46ef-a832-a176f5e28520;Indium, 0.005% in sulfide, In 0.003%, Pb, Zn, Ag, Cd;Resource;in ground;kg;1,04977E-06;;34550110-0552-46d2-b07d-6b9599892278;Actinides, radioactive, unspecified;Emission to water;ocean;kBq;0,009837691
36a3d172-7373-507f-85bd-12b8ba31a6d4;Iodine;Resource;in water;kg;5,19974E-07;;02703daf-fde4-489a-b7e5-523e46151312;Actinides, radioactive, unspecified;Emission to air;low population density;kBq;0,000105156
60b25e78-1d4f-39f3-9894-2338422a0351;Iridium;Resource;unspecified;kg;1,07823E-16;;72958cbe-6609-46c2-bbfa-ee4ab826ca12;Aerosols, radioactive, unspecified;Emission to air;low population density;kBq;0,001248877
afb5140a-1ed1-4c08-becb-6fc27781d831;Iridium;Resource;in ground;kg;1,17176E-11;;fe0acd60-3ddc-11dd-ae96-0050c2490048;Air, used;Emission to air;unspecified;kg;1599,574474
8ce3ff02-7a1e-48e3-881e-3248b944f28a;Iron;Resource;in ground;kg;1,56557451;;f809b5e9-ed1b-4117-8bc7-9acf883ec7f5;Alachlor;Emission to soil;agricultural;kg;1,50647E-09
08a91e70-3ddc-11dd-959a-0050c2490048;Iron ion;Resource;in ground;kg;0,77973726;;7906d330-8adb-4fc9-9266-24139fdda106;Alachlor;Emission to water;fresh water;kg;7,95646E-14
fe0acd60-3ddc-11dd-aab8-0050c2490048;Kaolin;Resource;in ground;kg;7,987760036;;06f0a67c-ec68-435d-8c32-0decd79a4a1a;Aldehydes, unspecified;Emission to air;unspecified;kg;6,39201E-09
08a91e70-3ddc-11dd-95c1-0050c2490048;Kaolinite;Resource;in ground;kg;0,005814164;;d961f86b-e36b-4ac6-8cd4-b253e496de79;Aldehydes, unspecified;Emission to air;high population density;kg;1,39824E-05
f3380341-7f76-5423-9704-c25ccf777a39;Kieserite;Resource;in ground;kg;1,65038E-05;;ba1a3dcb-d53a-42fd-80f0-d09f3a12ffe2;Aldehydes, unspecified;Emission to air;low population density;kg;1,96614E-06
4602b501-1c9b-4af7-bb1c-864c70c3e855;Krypton;Resource;in air;kg;7,66377E-15;;594fdc19-25cd-4c22-b3f3-58b1f2f42965;Aldrin;Emission to soil;agricultural;kg;1,72394E-09
15f98b12-7233-4438-9372-4ee1cfd5d693;Lanthanum;Resource;in ground;kg;0,847716669;;46e63323-cffd-4c46-829b-5f006b50fa9b;Aluminium III;Emission to air;low population density, long-term;kg;0,004321916
fbcb9c7a-eea7-4694-ba6c-568e01d28883;Lead;Resource;in ground;kg;0,017996993;;6f0b8b7c-3888-4174-b7e3-916d42d678ee;Aluminium III;Emission to air;high population density;kg;7,92613E-05
fe0acd60-3ddc-11dd-ae5d-0050c2490048;Lead II;Resource;in ground;kg;0,015384857;;2e0c9efa-d55c-49db-8be3-0376d5921ff4;Aluminium III;Emission to water;ground water;kg;0,00070244
7d2c1cdd-a64a-5936-a577-5b82db0c0d1b;Lithium;Resource;in ground;kg;6,47146E-07;;7880e65c-0321-4295-ba55-3186ad36e489;Aluminium III;Emission to water;unspecified;kg;1,46866E-06
a4bab069-74a9-5b4c-8d6e-5ca984cd9ecd;Magnesite;Resource;in ground;kg;0,065048765;;e0401210-0377-4670-84af-12247ca20bed;Aluminium III;Emission to soil;unspecified;kg;3,78084E-05
fe0acd60-3ddc-11dd-aabe-0050c2490048;Magnesite;Resource;in ground;kg;1,17098E-05;;01056d4b-f9b0-4dfc-b8d9-8407c8376efb;Aluminium III;Emission to water;ground water, long-term;kg;0,524739625
fe0acd60-3ddc-11dd-aac3-0050c2490048;Magnesium;Resource;in ground;kg;3,76408E-14;;ff65658c-2d39-44a2-b23e-7ec3c644f064;Aluminium III;Emission to air;unspecified;kg;0,008217694
247f3d96-7da2-5adf-a399-65745bc042fb;Magnesium;Resource;in water;kg;0,000873522;;0ace7678-a181-48e8-8728-d912a8b56c57;Aluminium III;Emission to water;ocean;kg;0,00053536
9e5823ad-9d9b-4b98-b627-e39611b6a8bd;Magnesium;Resource;in ground;kg;3,48216E-12;;5fb7fbc0-e7d1-4be5-a194-ec5ef5fb4f64;Aluminium III;Emission to water;fresh water;kg;0,004922239
fe0acd60-3ddc-11dd-acd8-0050c2490048;Magnesium chloride;Resource;in ground;kg;0,217226772;;765546a9-b056-4d27-ad14-2f016511bdcb;Aluminium III;Emission to soil;industrial;kg;0,001208813
c2586875-bb56-4b1e-84c5-5ff255a1108b;Manganese;Resource;in ground;kg;0,016009674;;9c3bd678-1b2f-4b95-a245-d5c8a3fe326b;Aluminium III;Emission to air;low population density;kg;2,93871E-06
fe0acd60-3ddc-11dd-9e5c-0050c2490048;Manganese II;Resource;in ground;kg;0,005670311;;c3847064-fe28-4a8a-9ff1-d959b58c836c;Aluminium III;Emission to water;lake;kg;0,000134163
aa3ea97b-523e-4594-8874-44f277573096;Mechanical Filtration;Resource;land;cm*m2/d;-0,002907462;;2baa4381-b781-4f5e-90de-508b0fa3fd1f;Aluminium III;Emission to soil;agricultural;kg;3,38619E-05
819f7e8f-c71b-4c49-8652-230b4cda1405;Mechanical Filtration;Resource;land;cm*m3;165,4139154;;d601cd0a-c599-42b7-8ea3-1fe741760e3d;Americium-241;Emission to water;fresh water;kBq;0,003727421
54b9cbd0-65df-4fd3-8a19-dd3b8eccc619;Mercury;Resource;in ground;kg;1,3283E-19;;5b4e8ce5-8e37-41a7-ba1b-735ab0c650cb;Americium-241;Emission to soil;unspecified;kBq;2245,362563
